Title ,TRANCHE,CG4:SCORE,CG3:STERIC,CG3:CLASH,CG3:Pro Desolve,CG3:Lig Desolve,CG3: Lig Desolv HB,CG4:HB,PSA,XLogP,N formal charges,HBA,HBD,Lipinski HBD,Max_ring_size,MW,N_ring_systems,N_rot_bonds,Formal Charge,
ZINC000816698601,DDAD,-6.596172,-9.919393,0.312926,3.355833,2.794915,-1.672671,-1.467784,75.27,5.03,0,3,2,2,6,320.41,2,7,0,
ZINC000820199493,DFAD,-9.236441,-8.446643,0.213073,2.68091,3.120092,-4.077394,-2.726479,67.01,5.67,0,2,2,2,6,305.28,2,7,0,
ZINC000816700503,DFAD,-7.724669,-8.105634,0.229531,2.7 72605,2.999029,-2.474447,-3.145753,57.78,5.61,0,2,2,2,6,318.17,2,5,0,
ZINC000816699315,DFAD,-6.406892,-9.419154,0.36176,3.653059,1.802113,-1.759409,-1.045262,58.2,5.51,0,2,2,2,6,306.36,2,8,0,
ZINC000063724545,DFAD,-6.367272,-7.182046,0.4403,3.439092,3.604641,-2.905897,-3.763363,70.14,5.37,0,3,2,2,6,304.35,3,5,0,
ZINC000816698294,DFAD,-6.333213,-9.092496,0.208964,3.229337,1.796927,-0.799832,-1.676114,58.2,5.15,0,2,2,2,6,312.39,2,8,0,
ZINC000816698421,DFAD,-6.310182,-8.384687,0.386248,3.767645,1.498945,-0.850262,-2.72807,67.15,5.16,0,2,2,2,6,323.27,2,6,0,
ZINC000887973120,DFAD,-6.304314,-9.260886,0.365767,3.139802,3.03933,-2.403493,-1.184834,84.73,5.03,0,4,2,2,6,312.37,2,7,0,
ZINC000887979719,DFAD,-6.199587,-9.769093,0.336336,3.18775,2.710502,-1.257613,-1.407468,71.84,5.1,0,3,2,2,6,311.38,2,8,0,
ZINC000848116057,DFAD,-6.003626,-7.132096,0.263147,2.655829,2.797318,-1.922817,-2.665008,58.2,5.46,0,2,2,2,6,304.43,2,8,0,
ZINC000820193736,DFAD,-5.943457,-9.142357,0.15708,3.314587,1.811492,-1.116435,-0.967825,58.2,5.48,0,2,2,2,6,306.36,2,8,0,
ZINC000820193737,DFAD,-5.526222,-7.908875,0.172404,2.699262,1.784112,-1.356665,-0.91646,58.2,5.48,0,2,2,2,6,306.36,2,8,0,
ZINC000820205539,DGAD,-7.952931,-8.608029,0.368959,2.544869,2.714184,-2.8276,-2.145314,70.23,5.27,0,2,3,3,6,313.37,2,8,0,
ZINC000820193677,DGAD,-7.753027,-7.945086,0.289145,3.167943,3.527045,-3.431668,-3.360408,57.78,5.93,0,2,2,2,6,321.3,2,6,0,
ZINC000912470991,DGAD,-7.431497,-8.521675,0.451872,3.084145,3.378103,-3.370351,-2.45359,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000028835843,DGAD,-7.379534,-7.53718,0.362169,3.145348,3.59861,-4.400651,-2.54783,70.14,5.32,0,3,2,2,6,318.37,3,6,0,
ZINC000912470992,DGAD,-7.21065,-7.446878,0.232415,1.85608,3.066935,-2.405513,-2.513689,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000816697830,DGAD,-7.201148,-9.909954,0.300911,2.96534,2.084687,-1.541327,-1.100805,58.2,5.59,0,2,2,2,6,310.32,2,7,0,
ZINC000887649394,DGAD,-7.149969,-10.968424,0.288641,3.307122,3.100945,-1.00132,-1.876933,59.59,5.81,0,1,2,2,6,302.37,2,8,0,
ZINC000816700122,DGAD,-6.946905,-8.646045,0.516376,3.031038,1.509904,-1.621764,-1.736414,58.2,6.22,0,2,2,2,6,324.35,2,7,0,
ZINC000820190149,DGAD,-6.940986,-8.254375,0.399231,3.254044,2.030609,-2.290965,-2.079531,63.25,5.53,0,2,2,2,6,309.36,2,8,0,
ZINC000820193752,DGAD,-6.765945,-8.901398,0.340045,3.127804,2.869749,-1.540654,-2.661491,58.2,5.95,0,2,2,2,6,318.45,2,8,0,
ZINC000888253425,DGAD,-6.725689,-7.858156,0.286717,2.899102,2.543866,-2.446472,-2.150744,54.02,5.3,0,2,2,2,6,308.17,2,6,0,
ZINC000816700571,DGAD,-6.713814,-9.373751,0.310505,3.775758,1.801875,-1.93493,-1.293271,58.2,5.75,0,2,2,2,6,306.36,2,7,0,
ZINC000888125466,DGAD,-6.689587,-10.140402,0.493055,3.495402,3.636886,-2.107817,-2.066711,80.05,5.56,0,3,2,2,6,312.37,2,8,0,
ZINC000912470990,DGAD,-6.685357,-6.792971,0.429889,2.37758,2.420339,-3.133014,-1.987181,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000887683635,DGAD,-6.595215,-8.309822,0.687038,3.097652,2.699502,-2.422342,-2.347243,70.23,5.66,0,2,3,3,6,313.39,2,8,0,
ZINC000816697832,DGAD,-6.461881,-7.780977,0.42568,2.682064,2.694112,-2.245811,-2.236949,70.23,5.25,0,2,3,3,6,307.35,2,8,0,
ZINC000816700619,DGAD,-6.430724,-8.277861,0.331518,3.371362,1.405079,-1.62774,-1.633082,58.2,6.22,0,2,2,2,6,324.35,2,7,0,
ZINC000887674315,DGAD,-6.360846,-8.62382,0.279213,3.42664,2.665246,-2.0341,-2.074025,61.44,5.28,0,2,2,2,6,313.39,2,7,0,
ZINC000887674314,DGAD,-6.31794,-10.398201,0.397518,3.869991,2.850064,-1.421742,-1.61557,61.44,5.28,0,2,2,2,6,313.39,2,7,0,
ZINC000887861615,DGAD,-6.272987,-7.183303,0.277415,2.656535,1.745785,-1.954131,-1.815288,80.05,5.57,0,3,2,2,6,314.31,3,7,0,
ZINC000912470989,DGAD,-6.260363,-7.988401,0.211615,3.057094,1.447593,-1.459668,-1.528596,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000887974741,DGAD,-6.241949,-7.962096,0.275719,2.392523,2.177312,-1.578831,-1.546575,71.84,5.94,0,3,2,2,6,311.38,2,7,0,
ZINC000887860588,DGAD,-6.140906,-7.491119,0.292559,2.8786,1.716849,-1.786777,-1.751017,80.05,5.73,0,3,2,2,6,310.35,3,7,0,
ZINC000816700194,DGAD,-6.064753,-7.692317,0.340079,2.630927,1.658254,-1.482058,-1.519637,67.43,5.65,0,2,2,2,6,322.36,2,8,0,
ZINC000887685515,DGAD,-6.01192,-8.416605,0.248147,2.393565,2.087809,-1.272202,-1.052634,59.59,5.2,0,2,2,2,6,302.37,2,8,0,
ZINC000816698954,DGAD,-5.994766,-8.642964,0.205084,3.237033,2.310717,-1.371675,-1.73296,58.2,5.9,0,2,2,2,6,320.39,2,9,0,
ZINC000887691556,DGAD,-5.932716,-7.885332,0.5823,3.515618,2.696516,-2.397766,-2.444052,70.23,5.46,0,2,3,3,6,313.39,2,8,0,
ZINC000887685754,DGAD,-5.912413,-8.051487,0.25053,2.360604,2.904854,-1.603759,-1.773154,59.59,5.01,0,2,2,2,6,302.37,2,8,0,
ZINC000887685568,DGAD,-5.849047,-8.493361,0.291693,3.053557,1.353189,-0.818312,-1.235813,59.59,5.33,0,2,2,2,6,322.79,2,8,0,
ZINC000887685569,DGAD,-5.835421,-6.935478,0.358661,1.871004,2.87097,-2.06076,-1.939818,59.59,5.33,0,2,2,2,6,322.79,2,8,0,
ZINC000816698955,DGAD,-5.82379,-8.687304,0.239294,3.908144,1.787423,-1.388436,-1.68291,58.2,5.9,0,2,2,2,6,320.39,2,9,0,
ZINC000887685755,DGAD,-5.76125,-7.656207,0.392248,2.007356,2.957449,-1.617867,-1.84423,59.59,5.01,0,2,2,2,6,302.37,2,8,0,
ZINC000162635143,DGAD,-5.630206,-7.91864,0.221094,2.054184,0.013156,0,0,56.73,5.14,0,2,2,1,6,320.84,2,3,0,
ZINC000768436734,DGAD,-5.624391,-7.410494,0.259964,2.387066,3.897617,-3.402315,-1.356228,85.41,5.13,0,3,3,2,5,308.45,2,8,0,
ZINC000768436736,DGAD,-5.523731,-7.080087,0.202219,2.331742,1.23402,-1.343833,-0.867793,85.41,5.13,0,3,3,2,5,308.45,2,8,0,
ZINC000887685516,DGAD,-5.431907,-7.442923,0.189112,2.286138,2.209442,-1.715917,-0.957759,59.59,5.2,0,2,2,2,6,302.37,2,8,0,
ZINC000915794501,DGAD,-5.379479,-8.260106,0.189333,3.213943,1.608731,-1.250173,-0.881207,74.55,5.13,0,3,2,1,5,322.47,2,8,0,
ZINC000915794500,DGAD,-5.057316,-7.378962,0.230736,2.873869,1.412301,-1.313966,-0.881294,74.55,5.13,0,3,2,1,5,322.47,2,8,0,
ZINC000730149617,DGAD,-4.824155,-8.755845,0.37982,3.738871,1.801639,-1.332883,-0.655758,74.55,5.41,0,3,2,1,5,322.47,2,8,0,
ZINC000730149623,DGAD,-4.810033,-7.175447,0.109339,2.195579,0.077775,0,-0.017279,74.55,5.41,0,3,2,1,5,322.47,2,8,0,
ZINC000790242054,DGED,-5.887853,-7.464074,0.26813,2.523018,0.936228,-1.304547,-0.846609,56.73,5.11,0,2,2,1,6,320.41,3,3,0,
ZINC000772861106,DGED,-5.850948,-7.849443,0.263293,2.573734,1.302663,-1.307302,-0.833891,56.73,5.21,0,2,2,1,6,320.84,2,5,0,
ZINC000177470594,DGED,-5.77984,-9.119827,0.262301,2.953713,1.799428,-1.209256,-0.466197,56.73,5.14,0,2,2,1,6,320.84,2,3,0,
ZINC000746653189,DGED,-5.730023,-7.462599,0.197816,2.518174,1.187724,-1.310655,-0.860483,56.73,5.21,0,2,2,1,6,320.84,2,5,0,
ZINC000754276093,DGED,-5.640196,-8.412931,0.394377,3.327193,1.799387,-2.210139,-0.538082,56.73,5.21,0,2,2,1,6,320.84,2,5,0,
ZINC000768436945,DGED,-5.605292,-8.362436,0.230052,2.831805,2.238441,-1.250547,-1.292607,85.41,5.09,0,3,3,2,5,308.45,2,9,0,
ZINC000790265882,DGED,-5.500029,-9.373067,0.390268,3.103316,1.799428,-1.123058,-0.296916,56.73,5.11,0,2,2,1,6,320.41,3,3,0,
ZINC000159239802,DGED,-5.126655,-9.084685,0.284184,3.555422,1.799428,-0.930825,-0.750179,56.73,5.14,0,2,2,1,6,320.84,2,3,0,
ZINC000915794077,DGED,-4.514274,-8.024219,0.25167,2.817074,1.786177,-1.185992,-0.158985,74.55,5.37,0,3,2,1,5,322.47,2,9,0,
ZINC000062517923,DHAD,-8.536179,-10.46848,0.203974,3.316704,1.370559,-1.572415,-1.38652,54.02,5.16,0,2,2,2,6,309.47,2,7,0,
ZINC000900823172,DHAD,-8.14122,-6.123903,0.290441,2.531254,3.407251,-5.136381,-3.109882,57.78,5.08,0,2,2,2,6,319.83,2,6,0,
ZINC000900398194,DHAD,-7.959668,-6.64259,0.373815,2.579475,3.539753,-4.670815,-3.139307,57.78,5.08,0,2,2,2,6,319.83,2,6,0,
ZINC000859152056,DHAD,-7.863311,-6.63571,0.267423,2.908448,3.295162,-4.860332,-2.838302,57.78,5.02,0,2,2,2,6,319.83,2,8,0,
ZINC000862690227,DHAD,-7.709755,-6.572632,0.495955,2.635064,3.283052,-4.847246,-2.703947,57.78,5.02,0,2,2,2,6,319.83,2,8,0,
ZINC000622473199,DHAD,-7.637617,-8.491243,0.330075,2.122357,3.201006,-2.609651,-2.19016,57.78,5.04,0,2,2,2,6,303.44,3,5,0,
ZINC000777707315,DHAD,-7.591858,-8.536436,0.273026,2.935269,1.828218,-2.783111,-1.308823,50.36,5.04,0,2,2,2,6,312.35,2,7,0,
ZINC000900398203,DHAD,-7.577319,-5.731739,0.210591,2.053914,3.400911,-4.705544,-2.805452,57.78,5.08,0,2,2,2,6,319.83,2,6,0,
ZINC000777706461,DHAD,-7.575021,-9.124451,0.232025,3.13336,1.920422,-2.595283,-1.141094,50.36,5.04,0,2,2,2,6,312.35,2,7,0,
ZINC000859152054,DHAD,-7.49214,-8.622304,0.182614,2.450863,3.280015,-2.767008,-2.01632,57.78,5.02,0,2,2,2,6,319.83,2,8,0,
ZINC000779693909,DHAD,-7.484218,-8.489591,0.203613,2.342818,1.815133,-2.004608,-1.351584,50.36,5.05,0,2,2,2,6,324.37,3,6,0,
ZINC000862690226,DHAD,-7.400744,-8.870095,0.361005,2.759791,3.290651,-2.716733,-2.225363,57.78,5.02,0,2,2,2,6,319.83,2,8,0,
ZINC000900823169,DHAD,-7.348671,-7.988925,0.179872,3.256535,3.387034,-3.791605,-2.391582,57.78,5.08,0,2,2,2,6,319.83,2,6,0,
ZINC000604348004,DHAD,-7.309602,-9.277066,0.307522,3.257606,1.418485,-1.472842,-1.543307,54.02,5.16,0,2,2,2,6,309.47,2,7,0,
ZINC000604348005,DHAD,-7.178189,-8.368988,0.278817,3.074188,2.241096,-2.857018,-1.546284,54.02,5.16,0,2,2,2,6,309.47,2,7,0,
ZINC000622488048,DHAD,-7.138656,-8.211094,0.236947,2.905946,2.689306,-2.560609,-2.199154,54.02,5.05,0,2,2,2,6,309.47,2,4,0,
ZINC000530489086,DHAD,-7.086077,-6.997031,0.246871,2.300621,1.88321,-2.913538,-1.606209,66.91,5.07,0,3,2,2,6,324.48,2,7,0,
ZINC000622705499,DHAD,-7.048799,-8.077866,0.248655,3.004841,2.255895,-3.055374,-1.424951,54.02,5.01,0,2,2,2,6,309.47,2,5,0,
ZINC000735474402,DHAD,-7.022783,-8.141863,0.234807,2.844288,2.243122,-2.758537,-1.444601,54.02,5.03,0,2,2,2,5,321.48,3,6,0,
ZINC000622572024,DHAD,-6.949758,-9.420486,0.247001,3.503809,1.193272,-1.346622,-1.126732,54.02,5.01,0,2,2,2,6,321.48,3,6,0,
ZINC000857534671,DHAD,-6.898237,-6.367148,0.269716,2.324447,2.999076,-3.636566,-2.487762,57.78,5.01,0,2,2,2,6,303.44,3,5,0,
ZINC000808052363,DHAD,-6.860535,-9.687654,0.177518,3.443201,0.899881,-0.947294,-0.746186,56.73,5.07,0,2,2,1,6,324.44,3,6,0,
ZINC000622427144,DHAD,-6.860155,-7.323883,0.275357,2.31892,2.842601,-2.523109,-2.450041,54.02,5.01,0,2,2,2,5,321.48,3,8,0,
ZINC000887868683,DHAD,-6.851843,-7.575494,0.448371,2.912515,3.153251,-2.968501,-2.821986,70.23,5.57,0,2,3,3,6,313.39,2,8,0,
ZINC000887784225,DHAD,-6.833289,-10.206107,0.500682,3.298208,2.878565,-1.511998,-1.792637,50.36,5.28,0,2,2,2,6,318.43,2,8,0,
ZINC000777706460,DHAD,-6.810124,-9.591246,0.23505,3.486752,2.469449,-1.509098,-1.901031,50.36,5.04,0,2,2,2,6,312.35,2,7,0,
ZINC000558565066,DHAD,-6.773932,-9.547157,0.203595,3.799272,1.799219,-1.350435,-1.678427,66.91,5,0,3,2,2,6,322.47,3,8,0,
ZINC000774753853,DHAD,-6.74857,-6.912018,0.195097,2.119463,1.893669,-2.743231,-1.301549,50.36,5.04,0,2,2,2,6,312.35,2,8,0,
ZINC000777707314,DHAD,-6.732347,-9.539429,0.346302,3.324001,1.799356,-1.925985,-0.736591,50.36,5.04,0,2,2,2,6,312.35,2,7,0,
ZINC000820205036,DHAD,-6.724938,-7.908202,0.473824,3.006499,2.721753,-2.757443,-2.261369,70.23,5.55,0,2,3,3,6,321.37,2,8,0,
ZINC000530489083,DHAD,-6.700111,-6.633234,0.238364,2.204613,3.599172,-4.294275,-1.814751,66.91,5.07,0,3,2,2,6,324.48,2,7,0,
ZINC000775485073,DHAD,-6.680622,-7.084516,0.233205,2.539998,1.874205,-2.856822,-1.386691,50.36,5.05,0,2,2,2,6,324.37,3,6,0,
ZINC000622461200,DHAD,-6.569499,-7.846814,0.446753,2.826012,2.266985,-2.847015,-1.415421,54.02,5.01,0,2,2,2,5,321.48,3,7,0,
ZINC000774753852,DHAD,-6.530331,-6.527071,0.206432,1.813439,1.946526,-2.609967,-1.35969,50.36,5.04,0,2,2,2,6,312.35,2,8,0,
ZINC000551846109,DHAD,-6.221203,-7.758779,0.331707,2.70036,3.598513,-2.972117,-2.120887,66.91,5,0,3,2,2,6,322.47,3,8,0,
ZINC000340529120,DHAD,-6.167339,-7.546254,0.271304,3.081732,2.581411,-2.575414,-1.980118,54.02,5.17,0,2,2,2,5,309.47,2,8,0,
ZINC000888020512,DHAD,-6.131113,-7.838986,0.19288,2.548295,1.653998,-1.601357,-1.085944,58.95,5.63,0,2,2,2,6,310.39,2,7,0,
ZINC000551846108,DHAD,-6.082788,-7.018822,0.236729,2.063182,3.586923,-2.900043,-2.050757,66.91,5,0,3,2,2,6,322.47,3,8,0,
ZINC000915792479,DHAD,-6.081513,-9.06182,0.125234,2.955329,0.91127,-0.510947,-0.500579,56.73,5.24,0,2,2,1,6,322.49,2,9,0,
ZINC000340529104,DHAD,-6.073493,-7.908819,0.299425,2.752969,1.161857,-1.276594,-1.102332,54.02,5.17,0,2,2,2,5,309.47,2,8,0,
ZINC000735415381,DHAD,-6.057512,-9.064678,0.267883,3.001395,0.979847,-1.019471,-0.222487,56.73,5.17,0,2,2,1,6,322.86,3,3,0,
ZINC000040925007,DHAD,-5.949696,-9.458373,0.140912,3.389282,1.125257,-0.884078,-0.262696,56.73,5.25,0,2,2,1,6,310.85,2,7,0,
ZINC000742448190,DHAD,-5.912184,-8.63405,0.252887,3.193138,0.900466,-1.042265,-0.582361,56.73,5.09,0,2,2,1,6,308.42,2,6,0,
ZINC000735415383,DHAD,-5.874674,-8.283222,0.266056,2.429422,0.916001,-1.062656,-0.140274,56.73,5.17,0,2,2,1,6,322.86,3,3,0,
ZINC000004315400,DHAD,-5.859393,-8.749927,0.21311,2.765009,0.995129,-0.976401,-0.106313,56.73,5.13,0,2,2,1,6,322.86,3,4,0,
ZINC000735415379,DHAD,-5.844347,-9.146043,0.226141,3.025453,0.936586,-0.706926,-0.179559,56.73,5.17,0,2,2,1,6,322.86,3,3,0,
ZINC000303758330,DHAD,-5.804359,-7.754948,0.182974,2.59595,1.236188,-1.200424,-0.864099,56.73,5.07,0,2,2,1,6,324.44,3,6,0,
ZINC000750951657,DHAD,-5.78036,-7.869939,0.174213,3.102869,0.900363,-1.27291,-0.814956,56.73,5.06,0,2,2,1,6,318.48,2,6,0,
ZINC000303758329,DHAD,-5.766829,-8.900106,0.243395,2.777984,1.08054,-0.489302,-0.479339,56.73,5.07,0,2,2,1,6,324.44,3,6,0,
ZINC000514510679,DHAD,-5.744132,-7.385965,0.217268,2.395379,3.556827,-2.50651,-2.02113,66.91,5.05,0,3,2,2,6,318.44,2,8,0,
ZINC000742448021,DHAD,-5.724791,-8.795403,0.308938,3.479596,0.99985,-1.283831,-0.433941,56.73,5.09,0,2,2,1,6,308.42,2,6,0,
ZINC000514510678,DHAD,-5.722484,-7.473588,0.393563,2.615306,3.583942,-2.878033,-1.963674,66.91,5.05,0,3,2,2,6,318.44,2,8,0,
ZINC000735415368,DHAD,-5.689033,-9.919076,0.202364,3.47862,1.621788,-0.725893,-0.346836,56.73,5.17,0,2,2,1,6,322.86,3,3,0,
ZINC000920486359,DHAD,-5.688173,-9.036819,0.283038,3.183374,1.799428,-1.349553,-0.567641,56.73,5.1,0,2,2,1,6,324.44,3,6,0,
ZINC000604422180,DHAD,-5.603865,-7.70691,0.270478,2.965357,3.139646,-2.141614,-2.130822,66.91,5,0,3,2,2,6,322.47,3,8,0,
ZINC000028850758,DHAD,-5.588187,-8.071529,0.254198,3.41805,1.006345,-1.339696,-0.855554,56.73,5.23,0,2,2,1,6,318.48,2,5,0,
ZINC000791427898,DHAD,-5.465172,-7.927781,0.253667,2.873651,1.558781,-1.353743,-0.869748,56.73,5.07,0,2,2,1,6,322.49,2,6,0,
ZINC000604422179,DHAD,-5.400703,-8.380728,0.243289,3.432629,1.770484,-1.343357,-1.123021,66.91,5,0,3,2,2,6,322.47,3,8,0,
ZINC000604423178,DHAD,-5.357872,-8.512174,0.27743,2.757173,1.794524,-1.062665,-0.61216,66.91,5.21,0,3,2,2,5,324.48,2,9,0,
ZINC000735620274,DHAD,-5.342021,-6.27323,0.357582,2.347675,2.183465,-2.406005,-1.551508,69.62,5.17,0,3,2,1,6,305.44,2,8,0,
ZINC000741469332,DHAD,-5.301321,-8.950974,0.162095,3.3327,1.270747,-0.908319,-0.20757,56.73,5.13,0,2,2,1,6,322.86,3,5,0,
ZINC000604423179,DHAD,-5.122733,-8.196433,0.230035,2.924022,1.740525,-0.682513,-1.138369,66.91,5.21,0,3,2,2,5,324.48,2,9,0,
ZINC000735620273,DHAD,-4.7437,-7.457087,0.217889,3.134756,1.560945,-1.349522,-0.850681,69.62,5.17,0,3,2,1,6,305.44,2,8,0,
ZINC000779322078,DIAD,-9.028629,-8.395042,0.220181,2.480157,2.104525,-3.541064,-1.897387,54.12,5.17,0,2,2,2,6,324.83,3,5,0,
ZINC000195660049,DIAD,-8.611104,-8.121918,0.370327,2.816712,3.224013,-4.038359,-2.861879,54.02,5.03,0,2,2,2,6,323.86,2,8,0,
ZINC000677009201,DIAD,-8.597516,-10.636037,0.274753,3.193671,2.100748,-2.06092,-1.469731,50.36,5.05,0,2,2,2,6,324.5,2,8,0,
ZINC000025345943,DIAD,-8.511473,-6.893254,0.227703,2.767519,3.299094,-5.099943,-2.812592,57.78,5.23,0,2,2,2,6,317.4,2,8,0,
ZINC000677011459,DIAD,-8.496278,-11.011245,0.321953,3.656522,2.111665,-2.015409,-1.559763,50.36,5.05,0,2,2,2,6,324.5,2,9,0,
ZINC000605888762,DIAD,-8.44862,-8.199412,0.345375,3.253871,2.999046,-4.0205,-2.826999,57.78,5.3,0,2,2,2,6,317.4,2,7,0,
ZINC000357296948,DIAD,-8.343551,-7.205027,0.228105,2.261436,2.998929,-4.125386,-2.501609,57.78,5.02,0,2,2,2,6,319.83,2,6,0,
ZINC000543614339,DIAD,-8.314692,-7.378425,0.39545,3.285076,3.427626,-4.674971,-3.369448,57.78,5.07,0,2,2,2,6,313.44,2,7,0,
ZINC000622326275,DIAD,-8.224204,-10.036625,0.256292,3.241202,1.387174,-1.622658,-1.449588,54.02,5.22,0,2,2,2,6,321.48,3,7,0,
ZINC000025345940,DIAD,-8.118715,-7.289805,0.179865,2.481491,2.999003,-3.883564,-2.605705,57.78,5.23,0,2,2,2,6,317.4,2,8,0,
ZINC000677011979,DIAD,-8.115985,-10.550715,0.344347,3.389854,2.100818,-1.907225,-1.493064,50.36,5.05,0,2,2,2,6,324.5,2,8,0,
ZINC000194587288,DIAD,-8.096645,-8.020708,0.154464,2.446948,1.450225,-1.922314,-2.205261,61.8,5.15,0,2,2,2,6,311.4,3,5,0,
ZINC000543614337,DIAD,-8.072839,-7.521663,0.380307,3.491019,3.392546,-4.719659,-3.09539,57.78,5.07,0,2,2,2,6,313.44,2,7,0,
ZINC000677011978,DIAD,-8.047636,-10.078209,0.214068,3.384375,2.44343,-2.698183,-1.313117,50.36,5.05,0,2,2,2,6,324.5,2,8,0,
ZINC000677011455,DIAD,-8.021336,-10.491235,0.349775,3.492513,2.103286,-2.056332,-1.419344,50.36,5.05,0,2,2,2,6,324.5,2,9,0,
ZINC000194587301,DIAD,-8.001671,-8.329318,0.252262,2.914743,1.710701,-2.075168,-2.474891,61.8,5.15,0,2,2,2,6,311.4,3,5,0,
ZINC000683843350,DIAD,-7.974767,-9.816877,0.279439,3.082427,2.098424,-2.112455,-1.505725,50.36,5.05,0,2,2,2,6,324.5,2,8,0,
ZINC000900225453,DIAD,-7.912549,-5.55131,0.216827,2.201252,3.35011,-5.099921,-3.029507,57.78,5.03,0,2,2,2,6,323.79,2,5,0,
ZINC000728220986,DIAD,-7.907834,-6.538202,0.366261,2.108857,2.999127,-4.487761,-2.356115,54.02,5.03,0,2,2,2,6,323.86,2,8,0,
ZINC000677011976,DIAD,-7.877749,-10.099255,0.270392,3.155946,2.101434,-1.924377,-1.381889,50.36,5.05,0,2,2,2,6,324.5,2,8,0,
ZINC000683702670,DIAD,-7.872159,-10.645065,0.380191,3.401357,2.102127,-1.704443,-1.406327,50.36,5.05,0,2,2,2,6,324.5,2,8,0,
ZINC000436974766,DIAD,-7.854978,-8.56278,0.119648,2.568845,1.231104,-0.931013,-2.280781,61.8,5.18,0,2,2,2,6,303.42,3,6,0,
ZINC000858154106,DIAD,-7.82404,-6.282906,0.383744,2.540495,3.41963,-4.717076,-3.167929,57.78,5.02,0,2,2,2,6,319.83,2,6,0,
ZINC000605888766,DIAD,-7.780063,-6.307955,0.374769,3.094561,3.35959,-5.151387,-3.14964,57.78,5.3,0,2,2,2,6,317.4,2,7,0,
ZINC000292033847,DIAD,-7.774983,-8.535236,0.43969,2.930735,2.839783,-2.369596,-3.08036,70.67,5.04,0,3,2,2,6,314.43,2,10,0,
ZINC000728220985,DIAD,-7.696592,-6.9408,0.458182,2.662518,3.068018,-4.375918,-2.568593,54.02,5.03,0,2,2,2,6,323.86,2,8,0,
ZINC000864988591,DIAD,-7.675325,-7.577506,0.4583,3.060362,2.999623,-4.682031,-1.934072,57.78,5.05,0,2,2,2,6,309.83,3,6,0,
ZINC000436782279,DIAD,-7.668225,-8.317051,0.30046,3.022724,1.436114,-1.612068,-2.498405,61.8,5.55,0,2,2,2,6,305.44,2,8,0,
ZINC000777714750,DIAD,-7.621799,-7.972083,0.154975,2.402601,1.807484,-2.819322,-1.195454,50.36,5.06,0,2,2,2,6,316.85,2,7,0,
ZINC000857492627,DIAD,-7.601273,-8.831325,0.284074,3.126944,1.409305,-2.187011,-1.403261,50.36,5.65,0,2,2,2,6,316.44,3,6,0,
ZINC000795225683,DIAD,-7.56626,-8.926108,0.217445,3.108787,1.350973,-1.65102,-1.666336,50.36,5.16,0,2,2,2,6,302.41,3,6,0,
ZINC000677023800,DIAD,-7.542468,-10.471497,0.36092,3.699595,2.102111,-1.78547,-1.448126,50.36,5.05,0,2,2,2,6,324.5,2,10,0,
ZINC000677011460,DIAD,-7.488589,-9.988698,0.367679,3.176606,2.11126,-1.78086,-1.374577,50.36,5.05,0,2,2,2,6,324.5,2,9,0,
ZINC000777714751,DIAD,-7.415871,-8.594606,0.185971,2.668435,1.803349,-2.079906,-1.399112,50.36,5.06,0,2,2,2,6,316.85,2,7,0,
ZINC000867866045,DIAD,-7.412398,-8.064931,0.345354,2.665693,2.999242,-3.651289,-1.706466,57.78,5.05,0,2,2,2,6,309.83,3,6,0,
ZINC000677011452,DIAD,-7.39168,-10.878876,0.333598,3.984339,2.10272,-1.532681,-1.40078,50.36,5.05,0,2,2,2,6,324.5,2,9,0,
ZINC000436782280,DIAD,-7.385898,-7.517943,0.249926,2.746349,1.421887,-1.585689,-2.700428,61.8,5.55,0,2,2,2,6,305.44,2,8,0,
ZINC000812411763,DIAD,-7.354289,-9.195335,0.335499,3.661312,1.35031,-1.929196,-1.576879,50.36,5.18,0,2,2,2,6,312.41,2,9,0,
ZINC000544242879,DIAD,-7.32526,-10.076491,0.301177,3.688231,1.844736,-2.0281,-1.054813,58.95,5.19,0,2,2,2,6,320.47,2,7,0,
ZINC000777707301,DIAD,-7.301765,-7.716026,0.235954,2.427661,1.810881,-2.773647,-1.286588,50.36,5.23,0,2,2,2,6,324.42,3,7,0,
ZINC000303279949,DIAD,-7.294948,-9.325749,0.225046,3.125107,3.198122,-2.129485,-2.387988,57.78,5.03,0,2,2,2,6,323.36,3,5,0,
ZINC000544242880,DIAD,-7.261542,-10.723159,0.305334,3.659624,2.218578,-1.221775,-1.500144,58.95,5.19,0,2,2,2,6,320.47,2,7,0,
ZINC000540801165,DIAD,-7.250791,-7.115052,0.325582,2.564544,2.947299,-3.576838,-2.396325,57.78,5.06,0,2,2,2,6,305.46,2,4,0,
ZINC000357296960,DIAD,-7.232187,-6.437372,0.363209,2.308102,3.271184,-4.243758,-2.493553,57.78,5.02,0,2,2,2,6,319.83,2,6,0,
ZINC000857492765,DIAD,-7.216986,-9.221358,0.262687,3.637917,1.530155,-1.91027,-1.516115,50.36,5.25,0,2,2,2,6,318.45,2,7,0,
