Title ,TRANCHE,CG4:SCORE,CG3:STERIC,CG3:CLASH,CG3:Pro Desolve,CG3:Lig Desolve,CG3: Lig Desolv HB,CG4:HB,PSA,XLogP,N formal charges,HBA,HBD,Lipinski HBD,Max_ring_size,MW,N_ring_systems,N_rot_bonds,Formal Charge,
ZINC000604348084,EHAD,-6.07651,-8.665655,0.319266,2.74147,1.642968,-1.1529,-0.961659,58.2,5,0,2,2,2,6,336.51,2,9,0,
ZINC000735415819,EHAD,-6.067373,-8.919161,0.168831,3.000106,0.934065,-0.591873,-0.659341,56.73,5.16,0,2,2,1,6,334.5,3,5,0,
ZINC000532331023,EHAD,-6.041518,-6.026608,0.441009,2.196055,1.987021,-3.143141,-1.495855,66.91,5.24,0,3,2,2,6,338.51,2,8,0,
ZINC000468154363,EHAD,-6.038309,-9.180595,0.227203,3.286715,4.436057,-3.318483,-1.489205,66.91,5.24,0,3,2,2,5,338.51,2,9,0,
ZINC000563286087,EHAD,-6.036802,-7.439238,0.227618,3.26784,1.797273,-1.460839,-2.429456,66.91,5.14,0,3,2,2,6,338.51,2,8,0,
ZINC000329398227,EHAD,-6.032177,-9.481348,0.31464,3.518319,1.684438,-0.620664,-1.447562,83.28,5,0,2,2,2,6,343.42,3,6,0,
ZINC000788235397,EHAD,-6.018661,-8.141215,0.481666,3.400937,2.196295,-2.710355,-1.245989,67.43,5,0,3,2,2,6,346.46,2,9,0,
ZINC000329398226,EHAD,-6.015422,-8.908201,0.341182,3.260217,2.553221,-1.63472,-1.627121,83.28,5,0,2,2,2,6,343.42,3,6,0,
ZINC000476869584,EHAD,-6.014362,-6.695747,0.118535,2.643677,2.519858,-2.525169,-2.075516,58.2,5,0,2,2,2,6,336.51,2,9,0,
ZINC000775769171,EHAD,-6.014024,-7.529114,0.21374,2.601998,2.525489,-1.758716,-2.06742,70.56,5.08,0,3,2,2,6,329.44,2,9,0,
ZINC000084617683,EHAD,-6.004511,-7.220799,0.304335,2.837212,2.930411,-2.508912,-2.346759,70.56,5.07,0,3,2,2,6,329.44,2,8,0,
ZINC000749165724,EHAD,-5.996368,-7.329481,0.176083,2.784256,2.174877,-1.489316,-2.312789,70.56,5.08,0,3,2,2,6,329.44,2,9,0,
ZINC000080054852,EHAD,-5.991552,-9.001493,0.539501,3.209419,2.399595,-1.65327,-1.485304,80.05,5.04,0,3,2,2,6,344.45,2,11,0,
ZINC000078825008,EHAD,-5.990359,-9.480405,0.41505,3.295177,3.281948,-2.492903,-1.009227,80.05,5.04,0,3,2,2,6,344.45,2,11,0,
ZINC000579206730,EHAD,-5.982398,-6.919807,0.237849,2.973211,2.439501,-2.354706,-2.358446,66.91,5.07,0,3,2,2,5,338.51,2,7,0,
ZINC000677978768,EHAD,-5.979266,-7.938865,0.361364,2.586468,1.132781,-0.552488,-1.568525,58.2,5.14,0,2,2,2,6,334.5,3,7,0,
ZINC000787488870,EHAD,-5.975508,-8.923141,0.313816,3.351823,1.799428,-1.801222,-0.716212,56.73,5.11,0,2,2,1,6,342.91,2,6,0,
ZINC000178205038,EHAD,-5.961555,-8.900311,0.216354,3.209571,1.801763,-1.07491,-1.21402,58.2,5.06,0,2,2,2,5,334.5,3,8,0,
ZINC000151341104,EHAD,-5.954818,-8.258631,0.268719,2.541136,2.106754,-1.861722,-0.751074,66.91,5,0,3,2,2,6,344.47,3,9,0,
ZINC000152590156,EHAD,-5.95139,-9.023639,0.569744,3.547779,4.424105,-3.745272,-1.724107,66.91,5.07,0,3,2,2,6,344.47,3,9,0,
ZINC000062518329,EHAD,-5.948772,-8.485186,0.517201,3.716842,1.799435,-1.933295,-1.563771,58.2,5.03,0,2,2,2,6,342.48,2,10,0,
ZINC000512311551,EHAD,-4.79004,-7.770528,0.167702,3.178686,2.15495,-1.176645,-1.344204,58.2,5.2,0,2,2,2,5,334.5,3,6,0,
ZINC000494917181,EHED,-8.926465,-7.310287,0.176286,2.672614,3.500602,-4.893938,-3.071741,57.78,5.12,0,2,2,2,6,341.81,3,4,0,
ZINC000087034868,EHED,-8.891397,-8.959894,0.144717,3.056447,3.210668,-4.273745,-2.06959,57.78,5.1,0,2,2,2,6,335.79,3,4,0,
ZINC000356095614,EHED,-8.63922,-7.632597,0.275566,2.519156,3.227529,-4.138182,-2.890693,57.78,5.13,0,2,2,2,6,327.38,4,4,0,
ZINC000446058839,EHED,-8.488602,-9.053947,0.270926,3.007587,2.316364,-2.915355,-2.114176,61.8,5.6,0,2,2,2,6,341.81,3,3,0,
ZINC000247342934,EHED,-8.451686,-8.446891,0.176494,3.120748,3.234535,-4.343791,-2.192782,57.78,5.1,0,2,2,2,6,335.79,3,4,0,
ZINC000889871632,EHED,-8.224793,-7.62666,0.710954,3.616684,3.512167,-5.016046,-3.421892,79.37,5,0,3,2,2,6,328.41,2,9,0,
ZINC000889871633,EHED,-8.213095,-7.489555,0.320887,3.448708,3.266891,-4.441989,-3.318037,79.37,5,0,3,2,2,6,328.41,2,9,0,
ZINC000175929873,EHED,-7.977219,-8.557283,0.349054,3.35154,1.66239,-2.120287,-2.662632,61.8,5.6,0,2,2,2,6,341.81,3,3,0,
ZINC000446054366,EHED,-7.954691,-8.179685,0.387652,2.029915,2.550031,-2.474145,-2.268459,61.8,5.6,0,2,2,2,6,341.81,3,3,0,
ZINC000087034888,EHED,-7.848232,-7.829281,0.306993,2.882097,3.281261,-4.090613,-2.398689,57.78,5.1,0,2,2,2,6,335.79,3,4,0,
ZINC000549514805,EHED,-7.510682,-6.791625,0.333497,3.126424,2.998207,-4.136935,-3.04025,57.78,5.1,0,2,2,2,6,349.35,2,5,0,
ZINC000918681226,EHED,-7.392499,-6.708912,0.227601,2.625219,2.973399,-3.763611,-2.746195,83.56,5.12,0,4,2,2,5,335.47,2,11,0,
ZINC000729847266,EHED,-7.159752,-7.473392,0.432389,3.234267,3.748371,-4.611672,-2.489715,70.67,5.07,0,3,2,2,6,332.42,2,11,0,
ZINC000623402182,EHED,-7.114671,-8.748309,0.353651,3.211611,2.479256,-2.970444,-1.440436,50.36,5.03,0,2,2,2,6,342.48,2,8,0,
ZINC000775655681,EHED,-7.080752,-9.661987,0.346452,3.514603,2.033586,-2.118258,-1.195148,59.59,5.14,0,3,2,2,6,336.38,3,5,0,
ZINC000814543068,EHED,-7.045023,-9.754431,0.239029,3.726193,1.722154,-1.371603,-1.606365,58.2,5.01,0,2,2,2,6,348.44,2,6,0,
ZINC000775655680,EHED,-6.952644,-9.01621,0.324262,3.912081,2.582891,-2.433081,-2.322587,59.59,5.14,0,3,2,2,6,336.38,3,5,0,
ZINC000437675735,EHED,-6.937108,-8.890719,0.364911,2.86998,1.470619,-0.610624,-2.141274,61.36,5.08,0,2,3,3,6,348.44,3,5,0,
